"key","date","to","from","action_team","notes","edge_label","pick_involved","rights_involved","teams_involved"
"free agencyToure' Murry / Toure Murry","2015-01-04","free agency","Toure' Murry / Toure Murry","Jazz","waived","On 2015-01-04, Toure' Murry / Toure Murry becomes a free agent from Jazz",FALSE,FALSE,"Jazz"
"Dion WaitersJ.R. Smith","2015-01-05","J.R. Smith","Dion Waiters","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for J.R. Smith, and in exhchange give Dion Waiters to them.",FALSE,FALSE,"Cavaliers, Knicks, Thunder"
"J.R. SmithLou Amundson","2015-01-05","J.R. Smith","Lou Amundson","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for J.R. Smith, and in exhchange give Lou Amundson to them.",FALSE,FALSE,"Cavaliers, Knicks, Thunder"
"Alex KirkJ.R. Smith","2015-01-05","J.R. Smith","Alex Kirk","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for J.R. Smith, and in exhchange give Alex Kirk to them.",FALSE,FALSE,"Cavaliers, Knicks, Thunder"
"Dion WaitersIman Shumpert","2015-01-05","Iman Shumpert","Dion Waiters","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for Iman Shumpert, and in exhchange give Dion Waiters to them.",FALSE,FALSE,"Cavaliers, Knicks, Thunder"
"Iman ShumpertLou Amundson","2015-01-05","Iman Shumpert","Lou Amundson","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for Iman Shumpert, and in exhchange give Lou Amundson to them.",FALSE,FALSE,"Cavaliers, Knicks, Thunder"
"Alex KirkIman Shumpert","2015-01-05","Iman Shumpert","Alex Kirk","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for Iman Shumpert, and in exhchange give Alex Kirk to them.",FALSE,FALSE,"Cavaliers, Knicks, Thunder"
"Dion WaitersFurkan Korkmaz","2015-01-05","Furkan Korkmaz","Dion Waiters","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for first round pick (from Thunder) (protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz), and in exhchange give Dion Waiters to them.",TRUE,FALSE,"Cavaliers, Knicks, Thunder"
"Furkan KorkmazLou Amundson","2015-01-05","Furkan Korkmaz","Lou Amundson","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for first round pick (from Thunder) (protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz), and in exhchange give Lou Amundson to them.",TRUE,FALSE,"Cavaliers, Knicks, Thunder"
"Alex KirkFurkan Korkmaz","2015-01-05","Furkan Korkmaz","Alex Kirk","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for first round pick (from Thunder) (protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz), and in exhchange give Alex Kirk to them.",TRUE,FALSE,"Cavaliers, Knicks, Thunder"
