"key","date","to","from","action_team","notes","edge_label","pick_involved","rights_involved","teams_involved"
"free agencyRoko-Leni Ukic / Roko Ukicwaived2010-01-04","2010-01-04","free agency","Roko-Leni Ukic / Roko Ukic","Bucks","waived","On 2010-01-04, Roko-Leni Ukic / Roko Ukic is waived by Bucks",FALSE,FALSE,"Bucks"
"free agencyMikki Moorewaived2010-01-04","2010-01-04","free agency","Mikki Moore","Warriors","waived","On 2010-01-04, Mikki Moore is waived by Warriors",FALSE,FALSE,"Warriors"
"free agencyOthello Hunterwaived2010-01-05","2010-01-05","free agency","Othello Hunter","Hawks","waived","On 2010-01-05, Othello Hunter is waived by Hawks",FALSE,FALSE,"Hawks"
"free agencySundiata Gainessigned free agent to a 10-day contract2010-01-05","2010-01-05","Sundiata Gaines","free agency","Jazz","signed free agent to a 10-day contract","On 2010-01-05, Sundiata Gaines is signed as free agent to a 10-day contract by Jazz",FALSE,FALSE,"Jazz"
"free agencyRafer Alstonwaived / renounced rights (reached buyout agreement)2010-01-05","2010-01-05","free agency","Rafer Alston","Nets","waived / renounced rights (reached buyout agreement)","On 2010-01-05, Rafer Alston is waived by Nets",FALSE,FALSE,"Nets"
"free agencyPops Mensah-Bonsuwaived2010-01-05","2010-01-05","free agency","Pops Mensah-Bonsu","Raptors","waived","On 2010-01-05, Pops Mensah-Bonsu is waived by Raptors",FALSE,FALSE,"Raptors"
"free agencyShavlik Randolphwaived2010-01-06","2010-01-06","free agency","Shavlik Randolph","Blazers","waived","On 2010-01-06, Shavlik Randolph is waived by Blazers",FALSE,FALSE,"Blazers"
"Coby Karlfree agencywaived2010-01-06","2010-01-06","free agency","Coby Karl","Cavaliers","waived","On 2010-01-06, Coby Karl is waived by Cavaliers",FALSE,FALSE,"Cavaliers"
"free agencyLester Hudsonwaived2010-01-06","2010-01-06","free agency","Lester Hudson","Celtics","waived","On 2010-01-06, Lester Hudson is waived by Celtics",FALSE,FALSE,"Celtics"
"free agencyMike Harriswaived2010-01-06","2010-01-06","free agency","Mike Harris","Rockets","waived","On 2010-01-06, Mike Harris is waived by Rockets",FALSE,FALSE,"Rockets"
"free agencyRafer Alstonsigned free agent for the remainder of the season2010-01-07","2010-01-07","Rafer Alston","free agency","Heat","signed free agent for the remainder of the season","On 2010-01-07, Rafer Alston is signed as free agent for the remainder of the season by Heat",FALSE,FALSE,"Heat"
"free agencyShavlik Randolphsigned free agent to a 10-day contract2010-01-08","2010-01-08","Shavlik Randolph","free agency","Blazers","signed free agent to a 10-day contract","On 2010-01-08, Shavlik Randolph is signed as free agent to a 10-day contract by Blazers",FALSE,FALSE,"Blazers"
"free agencyLester Hudsonclaimed off waivers (from Celtics)2010-01-08","2010-01-08","Lester Hudson","free agency","Grizzlies","claimed off waivers (from Celtics)","On 2010-01-08, Lester Hudson is claimed off waivers (from Celtics) by Grizzlies",FALSE,FALSE,"Grizzlies"
"Cartier Martinfree agencysigned free agent to a 10-day contract2010-01-10","2010-01-10","Cartier Martin","free agency","Warriors","signed free agent to a 10-day contract","On 2010-01-10, Cartier Martin is signed as free agent to a 10-day contract by Warriors",FALSE,FALSE,"Warriors"
"Eduardo NajeraKris Humphries","2010-01-11","Eduardo Najera","Kris Humphries","Mavericks","trade with Nets","In a trade with the Nets, on 2010-01-11, the Mavericks acquire Eduardo Najera, and relinquish Kris Humphries",FALSE,FALSE,"Mavericks, Nets"
"Eduardo NajeraShawne Williams","2010-01-11","Eduardo Najera","Shawne Williams","Mavericks","trade with Nets","In a trade with the Nets, on 2010-01-11, the Mavericks acquire Eduardo Najera, and relinquish Shawne Williams",FALSE,FALSE,"Mavericks, Nets"
"free agencySean Williamswaived2010-01-11","2010-01-11","free agency","Sean Williams","Nets","waived","On 2010-01-11, Sean Williams is waived by Nets",FALSE,FALSE,"Nets"
"free agencyMario Westsigned free agent to a 10-day contract2010-01-12","2010-01-12","Mario West","free agency","Hawks","signed free agent to a 10-day contract","On 2010-01-12, Mario West is signed as free agent to a 10-day contract by Hawks",FALSE,FALSE,"Hawks"
"free agencyShawne Williamswaived2010-01-15","2010-01-15","free agency","Shawne Williams","Nets","waived","On 2010-01-15, Shawne Williams is waived by Nets",FALSE,FALSE,"Nets"
"free agencyShavlik Randolphwaived2010-01-17","2010-01-17","free agency","Shavlik Randolph","Blazers","waived","On 2010-01-17, Shavlik Randolph is waived by Blazers",FALSE,FALSE,"Blazers"
