"date","from","to","action_team","notes"
"2018-02-08","Jazz option to swap 2024 second round picks with Cavaliers (?-?)","2020 second round pick (?-?)","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","Jazz option to swap 2024 second round picks with Cavaliers (?-?)","Jazz option to swap 2024 second round picks with Cavaliers (?-?)","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","Jazz option to swap 2024 second round picks with Cavaliers (?-?)","$2.1M cash","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","Brice Johnson","James Ennis","Grizzlies","trade with Pistons"
"2018-02-08","2022 second round pick (less favorable of Bulls, Pistons picks) (?-?)","James Ennis","Grizzlies","trade with Pistons"
"2018-02-08","Okaro White","Luke Babbitt","Hawks","trade with Heat"
"2018-02-08","Sheldon McClellan / Sheldon Mac","2019 second round pick (protected top 55) (?-?)","Hawks","trade with Wizards"
"2018-02-08","cash","2019 second round pick (protected top 55) (?-?)","Hawks","trade with Wizards"
"2018-02-08","Derrick Rose","Joe Johnson","Jazz","3-team trade with Cavaliers, Kings"
"2018-02-08","Derrick Rose","$1.1M cash","Jazz","3-team trade with Cavaliers, Kings"
"2018-02-08","Jae Crowder","Joe Johnson","Jazz","3-team trade with Cavaliers, Kings"
"2018-02-08","Jae Crowder","$1.1M cash","Jazz","3-team trade with Cavaliers, Kings"
"2018-02-08","Jazz option to swap 2024 second round picks with Cavaliers (?-?)","Joe Johnson","Jazz","3-team trade with Cavaliers, Kings"
"2018-02-08","Jazz option to swap 2024 second round picks with Cavaliers (?-?)","$1.1M cash","Jazz","3-team trade with Cavaliers, Kings"
"2018-02-08","Bruno Caboclo","Malachi Richardson","Kings","trade with Raptors"
"2018-02-08","Joe Johnson","George Hill","Kings","3-team trade with Cavaliers, Jazz"
"2018-02-08","Joe Johnson","rights to Arturas Gudaitis","Kings","3-team trade with Cavaliers, Jazz"
"2018-02-08","2020 second round pick (from Cavaliers) (?-?)","George Hill","Kings","3-team trade with Cavaliers, Jazz"
"2018-02-08","2020 second round pick (from Cavaliers) (?-?)","rights to Arturas Gudaitis","Kings","3-team trade with Cavaliers, Jazz"
"2018-02-08","$2.1M cash (from Cavaliers)","George Hill","Kings","3-team trade with Cavaliers, Jazz"
"2018-02-08","$2.1M cash (from Cavaliers)","rights to Arturas Gudaitis","Kings","3-team trade with Cavaliers, Jazz"
"2018-02-08","$1.1M cash (from Jazz)","George Hill","Kings","3-team trade with Cavaliers, Jazz"
"2018-02-08","$1.1M cash (from Jazz)","rights to Arturas Gudaitis","Kings","3-team trade with Cavaliers, Jazz"
"2018-02-08","Emmanuel Mudiay","Doug McDermott","Knicks","3-team trade with Mavericks, Nuggets"
"2018-02-08","Emmanuel Mudiay","2018 second round pick (less favorable of Clippers, Knicks picks) (#43-Justin Jackson)","Knicks","3-team trade with Mavericks, Nuggets"
"2018-02-08","Doug McDermott","Devin Harris","Mavericks","3-team trade with Knicks, Nuggets"
"2018-02-08","2018 second round pick (less favorable of Blazers, Kings picks) (from Nuggets) (#54-Shake Milton)","Devin Harris","Mavericks","3-team trade with Knicks, Nuggets"
"2018-02-08","Devin Harris","Emmanuel Mudiay","Nuggets","3-team trade with Knicks, Mavericks"
"2018-02-08","Devin Harris","2018 second round pick (less favorable of Blazers, Kings picks) (#54-Shake Milton)","Nuggets","3-team trade with Knicks, Mavericks"
"2018-02-08","2018 second round pick (from Knicks) (less favorable of Clippers, Knicks picks) (#43-Justin Jackson)","Emmanuel Mudiay","Nuggets","3-team trade with Knicks, Mavericks"
"2018-02-08","2018 second round pick (from Knicks) (less favorable of Clippers, Knicks picks) (#43-Justin Jackson)","2018 second round pick (less favorable of Blazers, Kings picks) (#54-Shake Milton)","Nuggets","3-team trade with Knicks, Mavericks"
"2018-06-21","2021 second round pick (?-?)","rights to Khyri Thomas","76ers","trade with Pistons"
"2018-06-21","2023 second round pick (?-?)","rights to Khyri Thomas","76ers","trade with Pistons"
"2018-06-21","rights to Shake Milton","rights to Ray Spalding","76ers","trade with Mavericks"
"2018-06-21","rights to Shake Milton","rights to Kostas Antetokounmpo","76ers","trade with Mavericks"
"2018-06-21","rights to Zhaire Smith","rights to Mikal Bridges","76ers","trade with Suns"
"2018-06-21","2021 first round pick (?-?)","rights to Mikal Bridges","76ers","trade with Suns"
"2018-06-21","rights to Gary Trent Jr.","2019 second round pick (more favorable of Lakers, Timberwolves picks) (?-?)","Blazers","trade with Kings"
"2018-06-21","rights to Gary Trent Jr.","2021 second round pick (?-?)","Blazers","trade with Kings"
"2018-06-21","rights to Gary Trent Jr.","cash","Blazers","trade with Kings"
"2018-06-21","rights to Shai Gilgeous-Alexander","rights to Miles Bridges","Clippers","trade with Hornets"
"2018-06-21","rights to Shai Gilgeous-Alexander","2020 second round pick (?-?)","Clippers","trade with Hornets"
"2018-06-21","rights to Shai Gilgeous-Alexander","2021 second round pick (?-?)","Clippers","trade with Hornets"
"2018-06-21","2019 second round pick (?-?)","rights to Devonte' Graham","Hawks","trade with Hornets"
"2018-06-21","2023 second round pick (?-?)","rights to Devonte' Graham","Hawks","trade with Hornets"
"2018-06-21","rights to Trae Young","rights to Luka Doncic","Hawks","trade with Mavericks"
"2018-06-21","first round pick (protected top 5 in 2019-20, top 3 in 2021-22, unprotected in 2023) (?-?)","rights to Luka Doncic","Hawks","trade with Mavericks"
"2018-06-21","cash","rights to Vincent Edwards / Vince Edwards","Jazz","trade with Rockets"
"2018-06-21","rights to Justin Jackson","rights to Jarred Vanderbilt","Magic","trade with Nuggets"
"2018-06-21","2019 second round pick (less favorable of Nuggets (protected #56-60), Wizards picks; if Nuggets pick is less favorable but falls within protected range, then Wizards pick) (?-?)","rights to Jarred Vanderbilt","Magic","trade with Nuggets"
"2018-06-26","Marcin Gortat","Austin Rivers","Clippers","trade with Wizards"
"2018-07-06","Wilson Chandler","76ers option to swap 2022 second round picks with Nuggets (?-?)","76ers","trade with Nuggets"
"2018-07-06","Wilson Chandler","cash","76ers","trade with Nuggets"
"2018-07-06","2021 second round pick (?-?)","76ers option to swap 2022 second round picks with Nuggets (?-?)","76ers","trade with Nuggets"
"2018-07-06","2021 second round pick (?-?)","cash","76ers","trade with Nuggets"
"2018-07-06","76ers option to swap 2022 second round picks with Nuggets (?-?)","76ers option to swap 2022 second round picks with Nuggets (?-?)","76ers","trade with Nuggets"
"2018-07-06","76ers option to swap 2022 second round picks with Nuggets (?-?)","cash","76ers","trade with Nuggets"
"2018-07-06","2019 second round pick (?-?)","rights to Hamidou Diallo","Hornets","trade with Thunder"
"2018-07-06","cash","rights to Hamidou Diallo","Hornets","trade with Thunder"
"2018-07-06","2019 second round pick (?-?)","rights to Isaac Bonga","76ers","trade with Lakers"
"2018-07-06","cash","rights to Isaac Bonga","76ers","trade with Lakers"
"2018-07-06","Timofey Mozgov","Dwight Howard","Hornets","trade with Nets"
"2018-07-06","rights to Hamidou Diallo","Dwight Howard","Hornets","trade with Nets"
"2018-07-06","2021 second round pick (?-?)","Dwight Howard","Hornets","trade with Nets"
"2018-07-06","cash","Dwight Howard","Hornets","trade with Nets"
"2018-07-07","Julyan Stone","Jerian Grant","Bulls","3-team trade with Hornets, Magic"
"2018-07-07","Bismack Biyombo","Timofey Mozgov","Hornets","3-team trade with Bulls, Magic"
"2018-07-07","Bismack Biyombo","Julyan Stone","Hornets","3-team trade with Bulls, Magic"
"2018-07-07","2019 second round pick (from Magic) (less favorable of Nuggets (protected #56-60), Wizards picks; if Nuggets pick is less favorable but falls within protected range, then Wizards pick) (?-?)","Timofey Mozgov","Hornets","3-team trade with Bulls, Magic"
"2018-07-07","2019 second round pick (from Magic) (less favorable of Nuggets (protected #56-60), Wizards picks; if Nuggets pick is less favorable but falls within protected range, then Wizards pick) (?-?)","Julyan Stone","Hornets","3-team trade with Bulls, Magic"
"2018-07-07","2020 second round pick (from Magic) (less favorable of Knicks, Nets picks) (?-?)","Timofey Mozgov","Hornets","3-team trade with Bulls, Magic"
"2018-07-07","2020 second round pick (from Magic) (less favorable of Knicks, Nets picks) (?-?)","Julyan Stone","Hornets","3-team trade with Bulls, Magic"
"2018-07-07","Timofey Mozgov","2019 second round pick (less favorable of Nuggets (protected #56-60), Wizards picks; if Nuggets pick is less favorable but falls within protected range, then Wizards pick) (?-?)","Magic","3-team trade with Bulls, Hornets"
"2018-07-07","Timofey Mozgov","2020 second round pick (less favorable of Knicks, Nets picks) (?-?)","Magic","3-team trade with Bulls, Hornets"
"2018-07-07","Jerian Grant","Bismack Biyombo","Magic","3-team trade with Bulls, Hornets"
"2018-07-07","Jerian Grant","2019 second round pick (less favorable of Nuggets (protected #56-60), Wizards picks; if Nuggets pick is less favorable but falls within protected range, then Wizards pick) (?-?)","Magic","3-team trade with Bulls, Hornets"
"2018-07-07","Jerian Grant","2020 second round pick (less favorable of Knicks, Nets picks) (?-?)","Magic","3-team trade with Bulls, Hornets"
"2018-07-13","Jeremy Lin","Jeremy Lin","Hawks","trade with Nets"
"2018-07-13","Hawks option to swap 2023 second round picks with Nets (?-?)","Jeremy Lin","Hawks","trade with Nets"
"2018-07-13","2025 second round pick (?-?)","Jeremy Lin","Hawks","trade with Nets"
"2018-07-13","rights to Isaia Cordinier","Jeremy Lin","Nets","trade with Hawks"
"2018-07-13","rights to Isaia Cordinier","Hawks option to swap 2023 second round picks with Nets (?-?)","Nets","trade with Hawks"
"2018-07-13","rights to Isaia Cordinier","2025 second round pick (?-?)","Nets","trade with Hawks"
"2018-07-13","2020 second round pick (protected top 55) (?-?)","Jeremy Lin","Nets","trade with Hawks"
"2018-07-13","2020 second round pick (protected top 55) (?-?)","Hawks option to swap 2023 second round picks with Nets (?-?)","Nets","trade with Hawks"
"2018-07-13","2020 second round pick (protected top 55) (?-?)","2025 second round pick (?-?)","Nets","trade with Hawks"
"2018-07-13","Hawks option to swap 2023 second round picks with Nets (less favorable of Hawks, Hornets picks) (?-?)","Jeremy Lin","Nets","trade with Hawks"
"2018-07-13","Hawks option to swap 2023 second round picks with Nets (less favorable of Hawks, Hornets picks) (?-?)","Hawks option to swap 2023 second round picks with Nets (?-?)","Nets","trade with Hawks"
"2018-07-13","Hawks option to swap 2023 second round picks with Nets (less favorable of Hawks, Hornets picks) (?-?)","2025 second round pick (?-?)","Nets","trade with Hawks"
"2018-07-13","Darrell Arthur","Isaiah Whitehead","Nets","trade with Nuggets"
"2018-07-13","Kenneth Faried","Isaiah Whitehead","Nets","trade with Nuggets"
"2018-07-13","draft pick(s) (first round pick protected top 12 in 2019-24, else 2024 second round pick, 2025 second round pick) (?-?)","Isaiah Whitehead","Nets","trade with Nuggets"
"2018-07-13","2020 second round pick (?-?)","Isaiah Whitehead","Nets","trade with Nuggets"
"2018-07-17","Garrett Temple","Ben McLemore","Grizzlies","trade with Kings"
"2018-07-17","Garrett Temple","Deyonta Davis","Grizzlies","trade with Kings"
"2018-07-17","Garrett Temple","2021 second round pick (?-?)","Grizzlies","trade with Kings"
"2018-07-17","Garrett Temple","$1.5M cash","Grizzlies","trade with Kings"
"2018-07-18","Kawhi Leonard","DeMar DeRozan","Raptors","trade with Spurs"
"2018-07-18","Kawhi Leonard","Jakob Poeltl","Raptors","trade with Spurs"
"2018-07-18","Kawhi Leonard","draft pick(s) (2019 first round pick protected top 20 in 2019, else 2020 second round pick, 2023 second round pick) (?-?)","Raptors","trade with Spurs"
"2018-07-18","Danny Green","DeMar DeRozan","Raptors","trade with Spurs"
"2018-07-18","Danny Green","Jakob Poeltl","Raptors","trade with Spurs"
"2018-07-18","Danny Green","draft pick(s) (2019 first round pick protected top 20 in 2019, else 2020 second round pick, 2023 second round pick) (?-?)","Raptors","trade with Spurs"
"2018-07-18","$5M cash","DeMar DeRozan","Raptors","trade with Spurs"
"2018-07-18","$5M cash","Jakob Poeltl","Raptors","trade with Spurs"
"2018-07-18","$5M cash","draft pick(s) (2019 first round pick protected top 20 in 2019, else 2020 second round pick, 2023 second round pick) (?-?)","Raptors","trade with Spurs"
"2018-07-20","$1M cash","Richaun Holmes","76ers","trade with Suns"
"2018-07-20","Dakari Johnson","Rodney Purvis","Magic","trade with Thunder"
"2018-07-20","cash","Rodney Purvis","Magic","trade with Thunder"
"2018-07-20","Jared Dudley","Darrell Arthur","Nets","trade with Suns"
"2018-07-20","2021 second round pick (protected #31-35) (?-?)","Darrell Arthur","Nets","trade with Suns"
"2018-07-22","Johnathan Motley","rights to Maarty Leunen","Clippers","trade with Mavericks"
"2018-07-22","Johnathan Motley","$50K cash","Clippers","trade with Mavericks"
"2018-07-22","rights to Renaldas Seibutis","rights to Maarty Leunen","Clippers","trade with Mavericks"
"2018-07-22","rights to Renaldas Seibutis","$50K cash","Clippers","trade with Mavericks"
"2018-07-23","Rodney Purvis","Abdel Nader","Celtics","trade with Thunder"
"2018-07-23","Rodney Purvis","$450K cash","Celtics","trade with Thunder"
"2018-07-23","Dakari Johnson","Jarell Martin","Grizzlies","trade with Magic"
"2018-07-23","Dakari Johnson","cash","Grizzlies","trade with Magic"
"2018-07-23","rights to Tyler Harvey","Jarell Martin","Grizzlies","trade with Magic"
"2018-07-23","rights to Tyler Harvey","cash","Grizzlies","trade with Magic"
"2018-07-25","Mike Muscala","Justin Anderson","76ers","3-team trade with Hawks, Thunder"
"2018-07-25","Mike Muscala","Timothe Luwawu / Timothe Luwawu-Cabarrot","76ers","3-team trade with Hawks, Thunder"
"2018-07-25","Carmelo Anthony","Dennis Schroder","Hawks","3-team trade with 76ers, Thunder"
"2018-07-25","Carmelo Anthony","Mike Muscala","Hawks","3-team trade with 76ers, Thunder"
"2018-07-25","Justin Anderson","Dennis Schroder","Hawks","3-team trade with 76ers, Thunder"
"2018-07-25","draft pick(s) (2022 first round pick, protected top 14 in 2022, else 2024 second round pick, 2025 second round pick (?-?)) (from Thunder) (?-?)","Dennis Schroder","Hawks","3-team trade with 76ers, Thunder"
"2018-07-25","draft pick(s) (2022 first round pick, protected top 14 in 2022, else 2024 second round pick, 2025 second round pick (?-?)) (from Thunder) (?-?)","Mike Muscala","Hawks","3-team trade with 76ers, Thunder"
"2018-07-25","Dennis Schroder","draft pick(s) (2022 first round pick, protected top 14 in 2022, else 2024 second round pick, 2025 second round pick (?-?)","Thunder","3-team trade with 76ers, Hawks"
"2018-07-25","Timothe Luwawu / Timothe Luwawu-Cabarrot","Carmelo Anthony","Thunder","3-team trade with 76ers, Hawks"
"2018-07-25","Timothe Luwawu / Timothe Luwawu-Cabarrot","draft pick(s) (2022 first round pick, protected top 14 in 2022, else 2024 second round pick, 2025 second round pick (?-?)","Thunder","3-team trade with 76ers, Hawks"
"2018-08-02","Chinanu Onuaku","rights to Maarty Leunen","Mavericks","trade with Rockets"
"2018-08-02","Chinanu Onuaku","Mavericks option to swap 2020 second round picks with Rockets (?-?)","Mavericks","trade with Rockets"
"2018-08-02","Mavericks option to swap 2020 second round picks with Rockets (?-?)","rights to Maarty Leunen","Mavericks","trade with Rockets"
"2018-08-02","Mavericks option to swap 2020 second round picks with Rockets (?-?)","Mavericks option to swap 2020 second round picks with Rockets (?-?)","Mavericks","trade with Rockets"
"2018-08-02","cash","rights to Maarty Leunen","Mavericks","trade with Rockets"
"2018-08-02","cash","Mavericks option to swap 2020 second round picks with Rockets (?-?)","Mavericks","trade with Rockets"
"2018-08-07","Sam Dekker","rights to Vladimir Veremeenko","Cavaliers","trade with Clippers"
"2018-08-07","rights to Renaldas Seibutis","rights to Vladimir Veremeenko","Cavaliers","trade with Clippers"
"2018-08-07","cash","rights to Vladimir Veremeenko","Cavaliers","trade with Clippers"
"2018-08-31","Marquese Chriss","Ryan Anderson","Rockets","trade with Suns"
"2018-08-31","Marquese Chriss","rights to De'Anthony Melton","Rockets","trade with Suns"
"2018-08-31","Brandon Knight","Ryan Anderson","Rockets","trade with Suns"
"2018-08-31","Brandon Knight","rights to De'Anthony Melton","Rockets","trade with Suns"
"2018-10-15","Jodie Meeks","modification of protection on 2020 second round pick previously traded from Wizards to Bucks in Jared Dudley trade (now protected top 45 in 2020, else unprotected in 2022) (?-?)","Bucks","trade with Wizards"
"2018-10-15","modification of protection on 2020 second round pick previously traded from Wizards to Bucks in Jared Dudley trade (now protected top 45 in 2020, else unprotected in 2022) (?-?)","modification of protection on 2020 second round pick previously traded from Wizards to Bucks in Jared Dudley trade (now protected top 45 in 2020, else unprotected in 2022) (?-?)","Bucks","trade with Wizards"
"2018-10-15","cash","modification of protection on 2020 second round pick previously traded from Wizards to Bucks in Jared Dudley trade (now protected top 45 in 2020, else unprotected in 2022) (?-?)","Bucks","trade with Wizards"
"2018-10-15","Alexis Ajinca / Alex Ajinca","Wesley Johnson / Wes Johnson","Clippers","trade with Pelicans"
"2018-11-12","Jimmy Butler","Robert Covington","76ers","trade with Timberwolves"
"2018-11-12","Jimmy Butler","Dario Saric","76ers","trade with Timberwolves"
"2018-11-12","Jimmy Butler","Jerryd Bayless","76ers","trade with Timberwolves"
"2018-11-12","Jimmy Butler","2022 second round pick (more favorable of 76ers, Nuggets picks) (?-?)","76ers","trade with Timberwolves"
"2018-11-12","Justin Patton","Robert Covington","76ers","trade with Timberwolves"
"2018-11-12","Justin Patton","Dario Saric","76ers","trade with Timberwolves"
"2018-11-12","Justin Patton","Jerryd Bayless","76ers","trade with Timberwolves"
"2018-11-12","Justin Patton","2022 second round pick (more favorable of 76ers, Nuggets picks) (?-?)","76ers","trade with Timberwolves"
"2018-11-29","Alec Burks","Kyle Korver","Cavaliers","trade with Jazz"
"2018-11-29","2020 second round pick (?-?)","Kyle Korver","Cavaliers","trade with Jazz"
"2018-11-29","2021 second round pick (?-?)","Kyle Korver","Cavaliers","trade with Jazz"
"2018-12-07","George Hill","Matthew Dellavedova / Matt Dellavedova","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","George Hill","John Henson","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","George Hill","draft pick(s) (first round protected top 14 in 2021 if Bucks send first round pick to Suns in 2019, top 10 in 2022 if Bucks send first round pick to Suns in 2020, top 10 in 2023, top 8 in 2024, else 2024 second round pick, 2025 second round pick) (?-?)","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","George Hill","2021 second round pick (?-?)","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","Jason Smith","Matthew Dellavedova / Matt Dellavedova","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","Jason Smith","John Henson","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","Jason Smith","draft pick(s) (first round protected top 14 in 2021 if Bucks send first round pick to Suns in 2019, top 10 in 2022 if Bucks send first round pick to Suns in 2020, top 10 in 2023, top 8 in 2024, else 2024 second round pick, 2025 second round pick) (?-?)","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","Jason Smith","2021 second round pick (?-?)","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","modification of protection on 2020 second round pick previously acquired from Wizards (pick now unprotected)","Matthew Dellavedova / Matt Dellavedova","Bucks","3-team trade with Cavaliers, Wizards"
