"","Date","Team","Acquired","Relinquished","Notes"
"1","2015-01-05","Cavaliers","• J.R. Smith• Iman Shumpert• first round pick (from Thunder) (protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz)","• Dion Waiters• Lou Amundson• Alex Kirk• 2019 second round pick (?-?)","3-team trade with Knicks, Thunder"
"2","2015-01-05","Knicks","• Lou Amundson• Alex Kirk• Lance Thomas• 2019 second round pick (from Cavaliers) (?-?)","• J.R. Smith• Iman Shumpert","3-team trade with Cavaliers, Thunder"
"3","2015-01-05","Thunder","• Dion Waiters","• Lance Thomas• first round pick (protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz)","3-team trade with Cavaliers, Knicks"
"4","2015-01-07","Cavaliers","• Timofey Mozgov• 2015 second round pick (less favorable of Blazers, Bulls picks) (#53-Sir'Dominic Pointer)","• first round pick (from Cavaliers, protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz)• first round pick in first draft 2 years after Grizzlies send first round pick to Timberwolves via Rockets (protected #1-5, #15-30 in 2015-16, top 5 in 2017-18, unprotected in 2019) (2017 #20-Harry Giles)","trade with Nuggets"
"5","2015-01-07","Nuggets","• first round pick (from Cavaliers, protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz)• first round pick in first draft 2 years after Grizzlies send first round pick to Timberwolves via Rockets (protected #1-5, #15-30 in 2015-16, top 5 in 2017-18, unprotected in 2019) (2017 #20-Harry Giles)","• Timofey Mozgov• 2015 second round pick (less favorable of Blazers, Bulls picks) (#53-Sir'Dominic Pointer)","trade with Cavaliers"
"6","2015-01-07","76ers","• Jared Cunningham• rights to Cenk Akyol• cash","• rights to Sergei Lishouk / Sergei Lishchuk","trade with Clippers"
"7","2015-01-07","Clippers","• rights to Sergei Lishouk / Sergei Lishchuk","• Jared Cunningham• rights to Cenk Akyol• cash","trade with 76ers"
"8","2015-01-09","Celtics","• draft pick(s) (first round pick (protected top 12 in 2015-16, else 2016 second round pick and 2017 second round pick)) (2016 #35-Rade Zagorac) (2017 #37-Semi Ojeleye)","• Brandan Wright","trade with Suns"
"9","2015-01-09","Suns","• Brandan Wright","• draft pick(s) (first round pick (protected top 12 in 2015-16, else 2016 second round pick and 2017 second round pick)) (2016 #35-Rade Zagorac) (2017 #37-Semi Ojeleye)","trade with Celtics"
"10","2015-01-12","Celtics","• Tayshaun Prince• Austin Rivers• first round pick (from Grizzlies, at least 2 years after Grizzlies convey a first round pick to Cavaliers from prior trade) (protected top 10 in 2017, top 12 in 2018, top 8 in 2019, top 6 in 2020, unprotected in 2021) (?-?)","• Jeff Green","3-team trade with Grizzlies, Pelicans"
"11","2015-01-12","Grizzlies","• Jeff Green• Russ Smith• trade exception","• Tayshaun Prince• Quincy Pondexter• 2015 second round pick (#56-Branden Dawson)• first round pick (at least 2 years after Grizzlies convey a first round pick to Cavaliers from prior trade) (protected top 10 in 2017, top 12 in 2018, top 8 in 2019, top 6 in 2020, unprotected in 2021) (?-?)","3-team trade with Celtics, Pelicans"
"12","2015-01-12","Pelicans","• Quincy Pondexter• 2015 second round pick (from Grizzlies) (#56-Branden Dawson)","• Austin Rivers• Russ Smith","3-team trade with Celtics, Grizzlies"
"13","2015-01-13","Celtics","• Nate Robinson","• Jameer Nelson","trade with Nuggets"
"14","2015-01-13","Nuggets","• Jameer Nelson","• Nate Robinson","trade with Celtics"
"15","2015-01-15","Celtics","• Chris Douglas-Roberts• Shavlik Randolph• 2017 second round pick (from Clippers) (#56-Jabari Bird)","• Austin Rivers","3-team trade with Clippers, Suns"
"16","2015-01-15","Clippers","• Austin Rivers","• Chris Douglas-Roberts• Reggie Bullock• 2017 second round pick (#56-Jabari Bird)","3-team trade with Celtics, Suns"
"17","2015-01-15","Suns","• Reggie Bullock","• Shavlik Randolph","3-team trade with Celtics, Clippers"
"18","2015-02-10","Hawks","• first round pick (protected top 14 and conditional in 2017 if Timberwolves convey 2015 first round pick to Celtics from previous trade, protected top 14 in 2018-20, else 2020 second round pick, 2021 second round pick) (2018 #19-Kevin Huerter)","• Adreian Payne","trade with Timberwolves"
"19","2015-02-10","Hornets","• Maurice Williams / Mo Williams• Troy Daniels• cash","• Gary Neal• 2019 second round pick (?-?)","trade with Timberwolves"
"20","2015-02-10","Timberwolves","• Adreian Payne","• first round pick (protected top 14 and conditional in 2017 if Timberwolves convey 2015 first round pick to Celtics from previous trade, protected top 14 in 2018-20, else 2020 second round pick, 2021 second round pick) (2018 #19-Kevin Huerter)","trade with Hawks"
"21","2015-02-10","Timberwolves","• Gary Neal• 2019 second round pick (?-?)","• Maurice Williams / Mo Williams• Troy Daniels• cash","trade with Hornets"
"22","2015-02-19","76ers","• Isaiah Canaan• 2015 second round pick (less favorable of Nuggets, Timberwolves) (#37-Richaun Holmes)","• K.J. McDaniels","trade with Rockets"
"23","2015-02-19","76ers","• JaVale McGee• rights to rights to Chukwudiebere Maduabum / Chu Chu Maduabum• first round pick (protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz)","• rights to Cenk Akyol","trade with Nuggets"
"24","2015-02-19","Blazers","• Arron Afflalo• Alonzo Gee","• Will Barton• Victor Claver• Thomas Robinson• 2016 first round pick (protected top 14 in 2016-17, else 2018 second round pick (less favorable of Blazers, Kings picks) and 2019 second round pick) (#19-Malik Beasley)","trade with Nuggets"
"25","2015-02-19","Celtics","• Isaiah Thomas","• Marcus Thornton (T.)• first round pick (protected top 10 in 2016-18, unprotected in 2019) (?-?)","trade with Suns"
"26","2015-02-19","Celtics","• Luigi Datome / Gigi Datome• Jonas Jerebko","• Tayshaun Prince","trade with Pistons"
"27","2015-02-19","Kings","• Andre Miller","• Ramon Sessions","trade with Wizards"
"28","2015-02-19","Knicks","• Alexey Shved• 2017 second round pick (#58-Ognjen Jaramaz)• 2019 second round pick (?-?)","• Pablo Prigioni","trade with Rockets"
"29","2015-02-19","Nets","• Thaddeus Young","• Kevin Garnett","trade with Timberwolves"
"30","2015-02-19","Nuggets","• rights to Cenk Akyol","• JaVale McGee• rights to rights to Chukwudiebere Maduabum / Chu Chu Maduabum• first round pick (protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz)","trade with 76ers"
"31","2015-02-19","Nuggets","• Will Barton• Victor Claver• Thomas Robinson• 2016 first round pick (protected top 14 in 2016-17, else 2018 second round pick (less favorable of Blazers, Kings picks) and 2019 second round pick) (#19-Malik Beasley)","• Arron Afflalo• Alonzo Gee","trade with Blazers"
"32","2015-02-19","Pistons","• Tayshaun Prince","• Luigi Datome / Gigi Datome• Jonas Jerebko","trade with Celtics"
"33","2015-02-19","Rockets","• K.J. McDaniels","• Isaiah Canaan• 2015 second round pick (less favorable of Nuggets, Timberwolves) (#37-Richaun Holmes)","trade with 76ers"
"34","2015-02-19","Rockets","• Pablo Prigioni","• Alexey Shved• 2017 second round pick (#58-Ognjen Jaramaz)• 2019 second round pick (?-?)","trade with Knicks"
"35","2015-02-19","Suns","• Marcus Thornton (T.)• first round pick (protected top 10 in 2016-18, unprotected in 2019) (2016 #28-Skal Labissiere)","• Isaiah Thomas","trade with Celtics"
"36","2015-02-19","Timberwolves","• Kevin Garnett","• Thaddeus Young","trade with Nets"
"37","2015-02-19","Wizards","• Ramon Sessions","• Andre Miller","trade with Kings"
"38","2015-02-19","76ers","• first round pick (protected top 5 in 2015, top 3 in 2016-17, unprotected in 2018) (from Suns) (2018 #10-Mikal Bridges)","• Michael Carter-Williams","3-team trade with Bucks, Suns"
"39","2015-02-19","Bucks","• Michael Carter-Williams• Tyler Ennis• Miles Plumlee","• Brandon Knight• Kendall Marshall","3-team trade with 76ers, Suns"
"40","2015-02-19","Heat","• Goran Dragic• Zoran Dragic","• Danny Granger• Norris Cole (a)• Justin Hamilton (b)• Shawne Williams• first round pick (in first draft 2 years after Heat convey first round pick to Cavaliers from ealier trade, protected top 7 in 2017-18, unprotected in 2019) (2018 #16-Zhaire Smith)• 2021 first round pick (from Heat) (?-?)","3-team trade with Pelicans, Suns"
"41","2015-02-19","Jazz","• Grant Jerrett• Kendrick Perkins• rights to Tibor Pleiss• 2017 second round pick (from Pistons) (#42-Thomas Bryant)• first round pick (from Thunder) (pick can be conveyed only 2 years after Thunder convey first round pick to 76ers from earlier trade, protected top 14 in 2017-20, else 2020 second round pick, 2021 second round pick) (2018 #20-Josh Okogie)","• Enes Kanter• Steve Novak","3-team trade with Pistons, Thunder"
"42","2015-02-19","Pelicans","• Ishmael Smith / Ish Smith• rights to Latavious Williams• 2015 second round pick (if this pick is not conveyed from 76ers to Celtics from previous trade, protected top 55 in 2015) (not exercised)• cash considerations","• 2016 second round pick (less favorable of Kings (protected top 55), Pelicans picks) (not exercised)","trade with Thunder"
"43","2015-02-19","Pelicans","• Norris Cole (a)• Justin Hamilton (b)• Shawne Williams","• John Salmons","3-team trade with Heat, Suns"
"44","2015-02-19","Pistons","• Reggie Jackson (b)","• D.J. Augustin• Kyle Singler• 2017 second round pick (#42-Thomas Bryant)• 2019 second round pick (?-?)","3-team trade with Jazz, Thunder"
"45","2015-02-19","Suns","• Brandon Knight• Kendall Marshall","• Tyler Ennis• Miles Plumlee• first round pick (protected top 5 in 2015, top 3 in 2016-17, unprotected in 2018) (2018 #10-Mikal Bridges)","3-team trade with 76ers, Bucks"
"46","2015-02-19","Suns","• Danny Granger• John Salmons• first round pick (from Heat) (in first draft 2 years after Heat convey first round pick to Cavaliers from ealier trade, protected top 7 in 2017-18, unprotected in 2019) (2018 #16-Zhaire Smith)• 2021 first round pick (from Heat) (?-?)","• Goran Dragic• Zoran Dragic","3-team trade with Heat, Pelicans"
"47","2015-02-19","Thunder","• 2016 second round pick (less favorable of Kings (protected top 55), Pelicans picks) (not exercised)","• Ishmael Smith / Ish Smith• rights to Latavious Williams• 2015 second round pick (if this pick is not conveyed from 76ers to Celtics from previous trade, protected top 55 in 2015) (not exercised)• cash considerations","trade with Pelicans"
"48","2015-02-19","Thunder","• D.J. Augustin• Enes Kanter• Steve Novak• Kyle Singler• 2019 second round pick (from Pistons) (?-?)","• Reggie Jackson (b)• Kendrick Perkins• Grant Jerrett• rights to Tibor Pleiss• first round pick (pick can be conveyed only 2 years after Thunder convey first round pick to 76ers from earlier trade, protected top 14 in 2017-20, else 2020 second round pick, 2021 second round pick) (#20-Josh Okogie)","3-team trade with Jazz, Pistons"
"49","2015-06-11","Bucks","• Caron Butler• Shawne Williams","• Ersan Ilyasova","trade with Pistons"
